,hospital_name,specialties,address,city_area
4158,Dr. Mahmoud Sami Shalaby,"Old bones, bones, Cairo, Gardens of the Dome",Dome gardens,Cairo - Gardens of the Dome
4159,Dr. Mahmoud Saad,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Helwan",Helwan: Mustafa Al -Maraghi Street,Cairo - Helwan
4160,Dr. Mahmoud Saad Al -Ruba,"Adult teeth, teeth of children, dental orthodontics, radical and nerve treatment, tooth cosmetic, dental implant, facial surgery and jaws, gum treatment, dental fixtures, teeth, Giza, Faisal",Faisal: Faisal Rest Street,Giza - Faisal
4161,Dr. Mahmoud Sayed Zalat,"Child heart surgery, baby chest surgery, heart and chest surgery, Cairo, downtown",Downtown: Al -Qasr Al -Aini Street,Cairo - Downtown
4162,Dr. Mahmoud Sayed Abdel Hamid,"Facial plastic surgery, nose surgery, plastic surgery, Giza, engineers",Mohandessin: League Street,Giza - Engineers
4163,Dr. Mahmoud Shaker,"General General Surgery, Gastrointestinal Surgery and Adult Endoscopes, General Surgery Children, Obesity and Ludgested, General Surgery, Giza, Al -Ahram Gardens",Al -Ahram Gardens: Al -Thawah Mineral Street,Giza - Al -Ahram Gardens
4164,Dr. Mahmoud Shaker,"Obesity and slimming surgery, adult general surgery, general surgery, Giza, Faisal",Faisal: Ahmed Lotfi El -Sayed,Giza - Faisal
4165,Dr. Mahmoud Shaker,"Obesity and slimming surgery, adult general surgery, general surgery, Giza, Faisal",Faisal: Ahmed Lotfi El -Sayed,Giza - Faisal
4166,Dr. Mahmoud Shehata,"Old heart, heart and blood vessels, Alexandria, Smouha",Smouha: Fawzi Moaz intersection with Tutankhamun,Alexandria - Smouha
4167,Dr. Mahmoud Shadid,"Obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adults, injuries and accident surgery, adult tumors surgery, breast tumor surgery, adult surgery, digestive system surgery and children's endoscopes, colon tumor surgery, general surgery, Cairo, olive",Olive: Ibn Al -Hakam,Cairo - Olives
4168,Dr. Mahmoud Sharif,"Adult teeth, children's teeth, elderly teeth, filling and treatment of roots and nerves, tooth beautification, gum treatment, dental fixtures, dental rays, teeth, teeth, Alexandria, birds",Birds,Alexandria - Asafra
4169,Dr. Mahmoud Shaban Abdel Ati,"Hearing and balanced disorder, adult hearing, child hearing, hearing, lake, Kafr El Dawar Center",Kafr El Dawar Center: The first court street intersection of Al -Bahr Street (Ahmed Orabi),Lake - Kafr El Dawar Center
4170,Dr. Mahmoud Shukry infection,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urology surgery, male diseases, urologist, Giza, Sheikh Zayed",Sheikh Zayed: Sids Klink -Building 4 -Next to West Hop -Soudic West -Perlery Hills -Sheikh Zayed,Giza - Sheikh Zayed
4171,Dr. Mahmoud Taha,"Old heart, children's heart, adult blood vessels, blood vessels, heart and blood vessels, Giza, Sheikh Zayed",Sheikh Zayed,Giza - Sheikh Zayed
4172,Dr. Mahmoud Taha,"Old heart, children's heart, adult blood vessels, children's blood vessels, heart and blood vessels, Giza, 6 October",October 6,Giza - 6 October
4173,Dr. Mahmoud Adel Jawish,"Old heart, heart and blood vessels, Giza, pyramid gardens","Al -Ahram Gardens: 122 C, the first of the first gate below the tower factory - Al -Ahram Gardens",Giza - Al -Ahram Gardens
4174,Dr. Mahmoud Adel Kenny,"Slimming and feeding children, children's blood diseases, sensitivity and children's immunity, breastfeeding, newborn, children, children and newborns, Cairo, Heliopolis",Heliopolis: Damascus Street,Cairo - Heliopolis
4175,Dr. Mahmoud Ashour,"Adult blood vessels surgery, diabetes foot treatment, blood vessels surgery, Cairo, Heliopolis",Heliopolis: Rashid,Cairo - Heliopolis
4176,Dr. Mahmoud Atef Youssef,"An adult nose and throat, nose, nose, children's larynx, hearing disorder and balance, nose surgery and adult larynx, nose surgery and ears and children's throat, adult auditors, children's hearing, nose, ear and throat, Giza, engineers",Engineers,Giza - Engineers
4177,Dr. Mahmoud Atef Youssef,"An adult nose and throat, nose, nose, children's larynx, hearing disorder and balance, nose surgery and adult larynx, nose surgery and ears and children's throat, adult auditors, children's hearing, nose, ear and throat, Giza, engineers",Engineers,Giza - Engineers
4178,Dr. Mahmoud Atef Youssef,"An adult nose and laxity, nose, nose, children's larynx, nose surgery, adults, adult throat, nose surgery, larger and throat of children, nose, ears and throat, Giza, Giza Square",Giza Square: Al -Nasr Building,Giza - Giza Square
4179,Dr. Mahmoud Atef Youssef,"An adult nose and laxity, nose, nose, children's larynx, hearing and balance disorder, nose surgery and adult larynx, nose surgery, ear and children's throat, adult auditors, children's hearing, nose, ears and throat, Giza, Faisal",Faisal: floors,Giza - Faisal
4180,Dr. Mahmoud Abbasi,"Diseases of women and obstetrics, women and obstetrics, Giza, 6 October",October 6,Giza - 6 October
4181,Dr. Mahmoud Abdel Sattar,"Teeth, teeth, Alexandria, Sidi Bishr",Sir human beings,Alexandria - Sidi Bishr
4182,Dr. Mahmoud Abdel Salam,"Addiction treatment, family counseling, psychological children, psychological adults, psychological, psychological, Eastern, Zagazig",Zagazig: The new bridge is the highest pharmacy of God,Eastern - Zagazig
4183,Dr. Mahmoud Abdel -Al,"Old heart, heart and blood vessels, Giza, Dokki",Dokki: 17 Babylon Street- branch from Mossadeq Street,Giza - Dokki
4184,Dr. Mahmoud Abdel -Azim,"Older physical therapy, adult bones, children's bones, adult rheumatism, children's rheumatism, rheumatism, Giza, Faisal",Faisal,Giza - Faisal
4185,Dr. Mahmoud Abdel -Fattah,"General, internal, internal, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4186,Dr. Mahmoud Abdel -Fattah,"General, internal, internal, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4187,Dr. Mahmoud Abdullah Hilal,"Obesity and slimming surgery, adult surgery, adult tumors surgery, digestive and extractors surgery, obesity and endoscopic surgery, Cairo, Heliopolis",Heliopolis: Ibn Abdul Zahir Street,Cairo - Heliopolis
4188,Dr. Mahmoud Abdel Hadi,"Children's distortions and birth defects, urology surgery, pediatric surgery, lake, Damanhour",Damanhur,Lake - Damanhour
4189,Dr. Mahmoud Abdel Wahab,"Old bones, children's bones, adult oral surgery, hand and shoulder bones, foot and ankle bones, joint changing, orthopedic orthodontics, stadium injuries and endoscopes, adult rheumatism, children's rheumatism, bones, Cairo, Heliopolis",Heliopolis: Sharif Street,Cairo - Heliopolis
4190,Dr. Mahmoud Abdel Wahab,"Old bones, children's bones, adult oral surgery, hand and shoulder bones, foot and ankle bones, joint changing, orthopedic orthodontics, stadium injuries and endoscopes, adult rheumatism, children's rheumatism, bones, Cairo, Heliopolis",Heliopolis: Sharif Street,Cairo - Heliopolis
4191,Dr. Mahmoud Ashoub,"Adult teeth, dental orthodontics, dental fixtures, teeth, Giza, 6 October",October 6: The central axis,Giza - 6 October
4192,Dr. Mahmoud Asfour,"Diseases of women and generation, microscopic injection and sterility, women and obstetrics, Gharbia, Al -Mahalla Al -Kubra",Al -Mahalla Al -Kubra: Al -Shun Square next,Gharbia - Al -Mahalla Al -Kubra
4193,Dr. Mahmoud Afifi,"Old eyes, lizards and correction of eyes and white water, eyes, Giza, Agouza",Agouza: 29 Nawal Al -Dour Street 2 apartment No. 10 in front of the Agouza section,Giza - Agouza
4194,Dr. Mahmoud Aqel,"Generally general surgery, general surgery, general surgery, western, Tanta",Tanta,Gharbia - Tanta
4195,Dr. Mahmoud Allam,"General internal, adult blood diseases, sugar and endocrine glands, adult liver, digestive system and adults, adult kidneys, adult urinary tracts, sensitivity and adult immunity, chest and adult respiratory system, adult heart, adult rheumatism, adult feeding, feeding, internal, Giza,Faisal",Faisal: King Faisal Street,Giza - Faisal
4196,Dr. Mahmoud Ali,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and infertility, women's plastic surgery, birth, women and obstetrics, Eastern, Faqous","Faqous: Al -Manisi Street, the entrance to Faqous Al -Balad, next to its pharmacy, Dr. Abdel Khaleq Al -Jadida",Eastern - Faqous
4197,Dr. Mahmoud Ali,"Obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adults, injuries and accident surgery, adult tumor surgery, adult general surgery, general surgery, Giza, engineers",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
4198,Dr. Mahmoud Ali Abd Rabuh,"Dental fixtures, children's teeth, filling and treatment of roots and nerve",Zagazig: The goldsmiths are in front of the Japanese Security Directorate,Eastern - Zagazig
4199,Dr. Mahmoud Ali Ismail,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4200,Dr. Mahmoud Ali Rajai,"Hearing and balanced disorder, nose, ears and adult larynx, nose surgery and adults and throat, nose and larger children, nose surgery and larger children",Assiut Center: Yousry Ragheb extension,Assiut - Assiut Center
4201,Dr. Mahmoud Fawzi Rahim,"Male diseases, urinary tract surgery, urinary tract, urinary tract, urinary tract surgery, urinary tract, Port Said, Port Said City",Port Said City: Flower cooperatives,Port Said - Port Said City
4202,Dr. Mahmoud Fawzi Ghali,"Male diseases, male and sterility, Cairo, Nasr City",Nasr City: Aviation Street,Cairo - Nasr City
4203,Dr. Mahmoud Fawzi Ghali,"Male diseases, male and sterility, Cairo, gathering",Gathering,Cairo - Assembly
4204,Dr. Mahmoud Fawzi Ghali,"Male diseases, male and sterility, Giza, pyramid",Pyramid: The main pyramid street,Giza - the pyramid
4205,Dr. Mahmoud Faisal,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urology surgery, male diseases, urologist, Giza, Faisal",Faisal,Giza - Faisal
4206,Dr. Mahmoud Faisal,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urologist, urologist, urinary tract, Giza, Faisal",Faisal: 54 Twenty Street in front of the seafood fish restaurant,Giza - Faisal
4207,Dr. Mahmoud Qutb,"Hearing and balanced disorder, nose, ears and adult larynx, nose surgery and adults and throat, nose and ears, children's throat, nose surgery and larger children, nose, ears and throat, Cairo, Obour City",Al -Obour City: Nafra Al -Hijaz Street No. 53,Cairo - Obour City
4208,Dr. Mahmoud Qutb,"Diseases of women and generation, microscopic injection and sterility, women and obstetrics, Eastern, Zagazig",Zagazig: Al -Shaarawi Street,Eastern - Zagazig
4209,Dr. Mahmoud Kamel,"Adult sensitivity and immunity, respiratory sensitivity, chest and adult respiratory system, chest and respiratory system, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4210,Dr. Mahmoud Krara,"Women and Gynecology diseases, women's tumors surgery, microscopic and infertility, women and generation, Giza, 6 October",October 6: M.,Giza - 6 October
4211,Dr. Mahmoud Mohamed Abu Al -Majd,"Children, children and newborns, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4212,Dr. Mahmoud Mohamed Al -Batanouni,"Toole and an adult respiratory device, chest and respiratory device, Giza, 6 October",October 6,Giza - 6 October
4213,Dr. Mahmoud Mohamed Al -Batanouni,"Toole and an adult respiratory device, chest and respiratory system, Giza, Dokki",Pillar,Giza - Dokki
4214,Dr. Mahmoud Mohamed Al -Jatniri,"Old tumors, tumors, Cairo, downtown",downtown,Cairo - Downtown
4215,Dr. Mahmoud Mohamed Al -Zarqani,"Sadr and an adult respiratory device, chest and respiratory device, Cairo, downtown",downtown,Cairo - Downtown
4216,Dr. Mahmoud Mohamed El -Sayed,"Old liver, adult kidneys, digestive system and extractors, general internal, digestive and endoscopy, Suez, Suez",Suez city,Suez - the city of Suez
4217,Dr. Mahmoud Mohamed El -Sayed,"Children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, dental orthodontics, dental installations, elderly teeth, dental transplantation, adult teeth, teeth, Giza, engineers",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
4218,Dr. Mahmoud Mohamed Barakat,"Old bones, children's bones, adult bones, hand and shoulder bones, foot and ankle bones, joint change, stadium injuries and endoscopes, bones, Alexandria, Mustafa Kamel",Mustafa Kamel,Alexandria - Mustafa Kamel
4219,Dr. Mahmoud Mohamed Suleiman,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Nasr City",Nasr City: The Hour Square,Cairo - Nasr City
4220,Dr. Mahmoud Mohamed Suleiman,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Nasr City",Nasr City: The Hour Square,Cairo - Nasr City
4221,Dr. Mahmoud Nafi,"Women and Gynecology, Women's Tumors Surgery, Microscopic Injections and IS",Faisal: Twenty Street,Giza - Faisal
4222,Dr. Mahmoud Najati,"Older gastrointestinal surgery, adult tumor surgery, adult surgery, obesity and endoscopic surgery, oriental, Zagazig",Zagazig: Governorate Street in front of Nasiriyah School,Eastern - Zagazig
4223,Dr. Mahmoud Naguib Mahmoud,Annual and adults and lax,Heliopolis,Cairo - Heliopolis
4224,Dr. Mahmoud Nashat Khalaf,"Diseases of women and obstetrics, women and obstetrics, Cairo, Manial",Running,Cairo - Manial
4225,Dr. Mahmoud Yassin,"General surgery, children, obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, women's tumors surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, stomach tumor surgery, general adult surgery, surgeryOld tumors, general surgery, oriental, Zagazig",Zagazig: Al -Galaa St. Tawheed Tower in front of Benzina Ali Zaki,Eastern - Zagazig
4226,Dr. Mahmoud Yassin,"Old heart surgery, heart and chest surgery, Cairo, Shubra",Shubra,Cairo - Shubra
4227,Dr. Mahmoud Yassin Mohamed,"Old heart surgery, baby heart surgery, adult Surgery, baby chest surgery, heart and chest surgery, Cairo, Heliopolis",Heliopolis: Al -Maqrizi Street,Cairo - Heliopolis
4228,Dr. Mahmoud Yassin,"Old heart surgery, baby heart surgery, adult chest surgery, baby chest surgery, heart and chest surgery, Cairo, Obour City",Al -Obour City: The first living pearl center is the first living complex in front of the Islamic Complex,Cairo - Obour City
4229,Dr. Mahmoud Yousry Abdul Mawla,"Genital diseases, male diseases, adult skin, cosmetic and lazer, children's skin, leather, oriental, Zagazig","Zagazig: Al -Galaa St., in front of the Holy Quran Association",Eastern - Zagazig
4230,Dr. Mahmoud Youssef,"Stadiums and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, orthopedic orthopedics, hand and shoulder bones, peripheral neurosurgery, children's bones, adult rheumatism, children's rheumatism, oral orthopedic surgery, bone surgery, bone, Giza,Faisal",Faisal: 6 Al -Mashay Street - Al -Dour 1 - Apartment 3 - Alaa Kazion Market - Talab Al -Hour Square,Giza - Faisal
4231,Dr. Medhat Ahmed Al -Zayat,"Children, newborns, breastfeeding, sugar and endocrine glands, digestive system and children's endoscopes, sensitivity and children's immunity, children's blood diseases, children and newborns, Cairo, Manial",Al Manial: 54 Al Manial Street - Ala McDonald's - Next to Al Nada Hospital - Sixth Role,Cairo - Manial
4232,Dr. Medhat Ahmed Al -Zayat,"Children, newborns, breastfeeding, sugar and endocrine glands, digestive system and children's endoscopes, sensitivity and children's immunity, children's blood diseases, children and newborns, Cairo, Manial",Al Manial: 54 Al Manial Street - Ala McDonald's - Next to Al Nada Hospital - Sixth Role,Cairo - Manial
4233,Dr. Medhat Al -Hajry,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and infertility, women and generation, Cairo, Sunrise",Al-Shorouk: 329- Buildings 100 m,Cairo - Sunrise
4234,Dr. Medhat Al -Hajry,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and infertility, women and generation, Cairo, Shubra",Shubra: May 15 Street,Cairo - Shubra
4235,Dr. Medhat Al -Hajry,"Microscopic and sterile injection, women's tumor surgery, women's diseases and obstetrics, women and obstetrics, Cairo, Nasr City",Nasr City: Abbas Al -Akkad Street,Cairo - Nasr City
4236,Dr. Medhat Al -Sibai,"Radiation tumors, tumors, Cairo, Nasr City",Nasr City,Cairo - Nasr City
4237,Dr. Medhat Al -Asili,"Children, children and newborns, Giza, engineers",Mohandessin: 211 Sudan Street - next to the Laser Mire - after Lebanon Square in the direction of the brigade's land - engineers,Giza - Engineers
4238,Dr. Medhat Al -Osaili,"Children, newborn, breastfeeding, child feeding and feeding, children and newborns, Giza, Sheikh Zayed",Sheikh Zayed: Midpoint clinics - Specialized elite clinics - next to Sheikh Zayed Specialist Hospital and Al -Shabrawi Restaurant - the highest Seif Pharmacy,Giza - Sheikh Zayed
4239,Dr. Medhat Al -Fattatri,"General, internal, internal, Giza, Dokki",Pillar,Giza - Dokki
4240,Dr. Medhat Al -Marshali,"Adult teeth, teeth, Cairo, Nasr City",Nasr City,Cairo - Nasr City
4241,Dr. Medhat Lotfy,"Diseases of women and obstetrics, women and obstetrics, Giza, Dokki",Pillar,Giza - Dokki
4242,Dr. Medhat Lotfy,"Gynecology and obstetrics, women's tumors surgery, microscopic injection and infertility, women and obstetrics, Cairo, downtown",Downtown: Sharif Street,Cairo - Downtown
4243,Dr. Medhat Madi,"Old eyes, children's eyes, lizards, vision and white water, network surgery and glass body, eyes, Giza, engineers",Engineers: 20 Al -Batal Street Ahmed bin Abdulaziz - Al -Hikma Tower,Giza - Engineers
4244,Dr. Medhat Madi,"Old eyes, lizards, vision and white water correction, network surgery and glass body, eyes, Giza, Sheikh Zayed",Sheikh Zayed: the central axis,Giza - Sheikh Zayed
4245,Dr. Medhat Magdy,"Treatment of adult pain, pain treatment, Giza, engineers",Mohandessin: Al -Qasim Street,Giza - Engineers
4246,Dr. Medhat Magdy El -Shorbagy,"Adult teeth, children's teeth, dental orthodontics, radical and nerve filling and treatment, dental cosmetic, dental implant, gum treatment, dental fixtures, dental rays, teeth, Giza, Giza Square",Giza Square,Giza - Giza Square
4247,Dr. Medhat Mohamed Hassan,"Old bones, adult orthopedic surgery, joint change, bones, Giza, Faisal",Faisal: King Faisal Street,Giza - Faisal
4248,Dr. Medhat Mohamed Ramadan,Belly,Nasr City,Cairo - Nasr City
4249,Dr. Medhat Mohamed Ramadan,Belly,Nasr City,Cairo - Nasr City
4250,Dr. Medhat Mohamed Abdel -Latif,"Digestive device and adult perspectives, general internal, adult rheumatism, chest and adult respiratory device, internal, Giza, pyramid gardens",Al -Ahram Gardens: Extension of the first gate Khufu,Giza - Al -Ahram Gardens
4251,Dr. Murad Ibrahim Qalini,"General, internal, internal, Cairo, Shubra",Shubra: 81 St. Rawd Al -Faraj in front of the Fi Pharmacy,Cairo - Shubra
4252,Dr. Murad Shawky,"Children's teeth, filling and treatment of roots and nerves, elderly teeth, adult teeth, teeth, western, Tanta",Tanta,Gharbia - Tanta
4253,Dr. Murad Mahmoud Murad Ahmed,"Urine urinary tracts, urology, Cairo, Mrs. Zainab",Mrs. Zainab,Cairo - Mrs. Zainab
4254,Dr. Murad Mahmoud Murad Ahmed,"Urine urinary tracts, urology, Cairo, Mrs. Zainab",Mrs. Zainab,Cairo - Mrs. Zainab
4255,Dr. Murad Mohiuddin Al -Sehd,"Diseases of women and obstetrics, women and obstetrics, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4256,Dr. Murtaji Mohamed Najm,"Old heart surgery, baby heart surgery, adult boobs, children's chest surgery, heart and chest surgery, Cairo, Manial",Running,Cairo - Manial
4257,Dr. Morsi Mustafa,"Old heart, adult blood vessels, heart and blood vessels, Qaliubiya, Benha Center",Banha Center: -,Qaliubiya - Benha Center
4258,Dr. Morsi Mustafa Morsi,"Old heart, adult blood vessels, heart and blood vessels, Giza, engineers",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
4259,Dr. Mervat Al -Damrawi,"General, internal, interior, Cairo, Abdeen",Abdeen,Cairo - Abdin
4260,Dr. Mervat Mohamed Naguib,"General, internal, internal, Giza, engineers",Engineers,Giza - Engineers
4261,Doctor of Ain Shams Center for Urinary and Memo.,"Urinary urinary tracts, urinary tracts, urinary tract surgery, urologist, urologist, adult kidneys, kids kidneys, male diseases, urologist, Cairo, Ain Shams",Ain Shams,Cairo - Ain Shams
4262,"Dr. Farest Center for Physiotherapy, Lasness and Separation","Extreme feeding and feeding, slimming and nourishing children, adult physical therapy, physical therapy, childhood, feeding, Giza, pyramid",Pyramid: Al Salam Street is branched from Al Sadr Hospital St.,Giza - the pyramid
4263,"Doctor of the Egypt Center for Dentistry, Dr. Mohamed Hassan","Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, dental cosmetic, dental implant, facial surgery and jaws, gum treatment, dental fixtures, teeth, teeth, Giza, 6 October","October 6: 215, the first of the seventh district - in front of the 6th of October City Authority - the club Square",Giza - 6 October
4264,Dr. Marwan Hassan,"Women and Gynecology diseases, women's tumors surgery, microscopic injection and sterility, women and generation, Alexandria, Rushdie",Rushdie: Al -Farid Layan St.,Alexandria - Rushdie
4265,Dr. Marwan Noureddine,"Burn plastic surgery, facial plastic surgery, plastic surgery, Giza, engineers",Engineers,Giza - Engineers
4266,Dr. Marwan Al -Qassas,"Old heart surgery, adult boobs, heart and chest surgery, Giza, engineers","Mohandessin: 21 Al-Batal Street, Ahmed Abdel Aziz-Imam Al-Tawhid and Al-Nour",Giza - Engineers
4267,Dr. Marwan Al -Qassas Capital Core Klink,"Old heart surgery, adult surgery, heart and chest surgery, Giza, Sheikh Zayed",Sheikh Zayed: Capital Core Klink-Capital Business Park-Building 6-6-Sixth Role-Clinic 605,Giza - Sheikh Zayed
4268,Dr. Marwan Hussein Kamel,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical filling and treatment of nerves, dental cosmetic, dental implant, facial surgery and jaws, gum treatment, dental fixtures, teeth, teeth, Cairo, Nasr City",Nasr City: Industry Street,Cairo - Nasr City
4269,Dr. Marwan Salem,"Adult blood diseases, sugar and endocrine glands, adult liver, adult kidneys, urologist adults, sensitivity and adult immunity, chest and adult respiratory system, adult heart, adult rheumatism, slimming and adult feeding, general internal, internal, Cairo, gathering","Assembly: Medical Park 2, 120 clinic, Fifth Settlement",Cairo - Assembly
4270,Dr. Marwan Abdel Moneim Ragheb,"General, internal, internal, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
4271,Dr. Maryam Barsoum,"Extreme feeding and feeding, slimming and feeding, Cairo, Zamalek",Zamalek,Cairo - Zamalek
4272,Dr. Maryam Fayed,"Adult liver, digestive and endoscopic device, digestive and endoscopy, Giza, and Mohandessin",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
4273,Dr. Maryam Kousa,"General, internal, internal, Giza, engineers",Engineers,Giza - Engineers
4274,Dr. Massad Anwar Hamida,"Obesity and slimming surgery, adult tumors surgery, gastrointestinal surgery and adults, adult general surgery, obesity and endoscopic surgery, Alexandria, Camp Shezar",Camp Shezar: Port Said Street,Alexandria - Camp Shezar
4275,Dr. Masoud Abdel Halim,"Male diseases, urinary tract adults, urinary tract surgery, urinary tract, urologist, Alexandria, swords","Swords: Doctors Tower in front of the village of Abdel -Wahab, Jamila Street, Abu Harid",Alexandria - swords
4276,Dr. Masoud Abdel Halim,"Urine urinary tracts, urinary tract surgery, urologist, Alexandria, swords","Swords: Al -Zawayda Street, in front of the gasoline station, Al -Shaima Tower",Alexandria - swords
4277,Dr. Mesbah Amer Al -Jundi,"Gastrointestinal and Endoscopes, an adults, digestive and endoscopic device, Cairo, Shubra",Shubra: Abu Al -Faraj Street,Cairo - Shubra
4278,Dr. Mesbah Amer Al -Jundi,"Sugar and endocrine glands, adult liver, adult kidneys, digestive system and adults, general interior, pediatric liver, digestive system and children's endoscopes, digestive system and endoscopes, Giza, Imbaba",Imbaba: a smart street,Giza - Imbaba
4279,Dr. Mustafa Al -Aydi,"Obesity and slimming surgery, abdominal surgery, digestive system surgery and adult perspectives, adult tumors surgery, adult surgery, adult chest surgery, endocrine surgery, injuries and accident surgery, women's tumor surgery, breast tumor surgery, colon tumor surgery, stomach tumors surgery, surgeryGeneral children, gastrointestinal surgery and children's endoscopes, children's tumor surgery, child abnormal surgery and birth defects, general surgery, Cairo, tenth of Ramadan",Tenth of Ramadan: Abu Bakr Al -Siddiq,Cairo - the tenth of Ramadan
4280,Dr. Mustafa Al -Aydi,"Obesity and slimming surgery, abdominal surgery, digestive system surgery and adult perspectives, adult tumors surgery, adult surgery, adult chest surgery, endocrine surgery, injuries and accident surgery, women's tumor surgery, breast tumor surgery, colon tumor surgery, stomach tumors surgery, surgeryGeneral children, gastrointestinal surgery and children's endoscopes, children's tumor surgery, child abnormal surgery and birth defects, general surgery, Cairo, tenth of Ramadan",Tenth of Ramadan: Abu Bakr Al -Siddiq,Cairo - the tenth of Ramadan
4281,Dr. Mustafa Fikry Tantawi,"Adult brain and neurosurgery, children's neurosurgery, adult spine surgery, spine surgery, children, adults and nerves, children's neurosurgery, neurosurgery, brown-suit, Beni Suef City",Beni Suef City: Directorate Square,Beni -Swal - Beni Suef City
4282,Dr. Mustafa Fikry Tantawi,"Adult brain and nerves, brain and nerves, brain and nerves, Giza, engineers",Mohandessin: Al -Batal Ahmed Abdel Aziz Street,Giza - Engineers
4283,Dr. Mustafa Qadri,"Adult's skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Cairo, Heliopolis",Heliopolis: Mustafa Rifaat Street,Cairo - Heliopolis
4284,Dr. Mustafa Mahmoud Al -Zuhairi,"Sugar and endocrine glands, children, newborns, children and newborns, Sohag, Sohag City",Sohag City :.,Sohag - Sohag City
4285,Dr. Mustafa Mukhtar,"Dental cosmetic, radical and nerve filling and treatment, gum treatment, facial surgery and jaws, dental fixtures, teeth, dental transplantation, adult teeth, teeth, Cairo, Abbasid",Abbasiya: Abbasiya Street,Cairo - Abbasiya
4286,Dr. Mustafa Mansi,"Adult Surgery, Children's Surgery, Administrative Cardiology, Pediatric Cardiology, Administrative General Surgery, Cardiology and Eastern, Eastern, Zagazig",Zagazig,Eastern - Zagazig
4287,Dr. Mustafa Nabil Ghoneim,"Genital diseases, male diseases, adult skin, cosmetic and lazer, children's skin, leather, Cairo, Nasr City",Nasr City: Ibrahim Abu Naja,Cairo - Nasr City
4288,"Dr. Mustafa Noah, the Egyptian American Center","Children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implant, adult teeth, teeth, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
4289,Dr. Mustafa Abu Sabie,"Lizik, vision and white water, network surgery and glass body, eyes, Giza, Giza Square",Giza Square: Murad Street,Giza - Giza Square
4290,Dr. Mustafa Abu Sabie,"Lizik, vision and white water, network surgery and glass body, eyes, Giza, pyramid gardens",Al -Ahram Gardens: Region C. The first gate,Giza - Al -Ahram Gardens
4291,Dr. Mustafa Ibrahim Abdel Moneim,"Diseases of women and obstetrics, women and obstetrics, Cairo, Gardens of the Dome",Dome gardens,Cairo - Gardens of the Dome
4292,Dr. Mustafa Ibrahim Abdel Moneim,"Diseases of women and obstetrics, women and obstetrics, Cairo, Gardens of the Dome",Dome gardens,Cairo - Gardens of the Dome
4293,Dr. Mustafa Abu Al -Enein,"Old eyes, lizards, vision and white water correction, network surgery and glass body, eyes, Cairo, Heliopolis",Heliopolis: Abu Bakr Al -Siddiq St.,Cairo - Heliopolis
4294,Dr. Mustafa Abu Al -Enein,"Old eyes, lizards, vision and white water correction, network surgery and glass body, eyes, Cairo, Heliopolis",Heliopolis: Abu Bakr Al -Siddiq St.,Cairo - Heliopolis
4295,Dr. Mustafa Abu Al -Alle,"Adult blood vessels surgery, pediatric blood vessels surgery, diabetes foot treatment, blood vessel surgery, Giza, pyramid gardens",Al -Ahram Gardens: Mineral Wealth,Giza - Al -Ahram Gardens
4296,Dr. Mustafa Abu Al -Alle,"Adult vascular surgery, pediatric blood vessels surgery, diabetes foot treatment, blood vessel surgery, Giza, 6 October",October 6: The fourth gate,Giza - 6 October
4297,Dr. Mustafa Abu Al -Alle,"Diabetic foot treatment, blood vessel surgery, Giza, Dokki","Dokki: Al -Tahrir Street, Dokki Square",Giza - Dokki
