hospital_name,specialties,address,city_area
Dr. Mohamed Ahmed,"Children's heart, adult heart, adult blood vessels, blood vessels, heart and blood vessels, Cairo, Nasr City",Nasr City: Ahmed Al -Zumar,Cairo - Nasr City
Dr. Mohamed Ahmed,"Bone distortions, joint change, adult bones, adult orthopedic surgery, bones, Giza, Sheikh Zayed","Sheikh Zayed: The Sixth District, Fourth District, Sheikh Zayed",Giza - Sheikh Zayed
Dr. Muhammad Ahmed Abu Raya,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical and nerve treatment, dental implant, dental fixtures, dental radiation, dental cosmetic, gum treatment, facial and jaws, teeth, Giza, Faisal",Faisal: Al -Arish Street,Giza - Faisal
Dr. Muhammad Ahmed Abu Raya,"Adult teeth, children's teeth, elderly teeth, dental orthodontics, radical and nerve treatment, dental implant, dental fixtures, dental radiation, dental cosmetic, gum treatment, facial and jaws, teeth, Giza, Faisal",Faisal: Al -Arish Street,Giza - Faisal
Dr. Mohamed Ahmed Shawkat,"Stadium and endoscopy injuries, ankle and ankle bones, joint change, adult bones, hand and shoulder bones, peripheral neurosurgery, adult orthopedic surgery, pediatric orthopedic surgery, bone distortions, children's bones, bones, western, Tanta","Tanta: Al -Minshawi Hospital, Andalusia Medical Tower",Gharbia - Tanta
Dr. Mohamed Ahmed Abdel -Khaleq,"Urine urinary tracts, urology, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Mohamed Ahmed Abdel Razek,"Older general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumors surgery, colon tumor surgery, liver tumor surgery, stomach tumors surgery, general surgery, Cairo, Heliopolis",Heliopolis: Al -Khalifa Al -Mamoun Street,Cairo - Heliopolis
Dr. Mohamed Ahmed Abdel Razek,"General General Surgery, Breast Oncology Surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, colon tumor surgery, liver tumor surgery, stomach tumors surgery, general surgery, Cairo, gathering",Assembly: northern ninety,Cairo - Assembly
Dr. Mohamed Ahmed Fawzy,"Public surgery, abdominal surgery, gastrointestinal surgery and adults, injuries and accident surgery, breast tumor surgery, colon tumor surgery, adult general surgery, digestive system surgery and children's endoscopes, pediatric deformities and birth defects, obesity and slimming surgery, endocrine surgery, surgeryGeneral, Cairo, Shubra Al -Khaimah",Shubra Al -Khaimah: End of Ahmed Orabi Bridge,Cairo - Shubra Al -Khaimah
Dr. Mohamed Ahmed Morsi,"Facial plastic surgery, children's distortions and birth defects, nose plastic surgery, burn surgery, eye plastic surgery, plastic surgery, Alexandria, sand station",Raml Station: 8 St. College of Medicine -Fourth Role,Alexandria - Raml Station
Dr. Mohamed Ahmed Morsi,"Facial plastic surgery, nose surgery, plastic surgery, Alexandria, Smouha",Smouha: Fawzi Moaz intersection with Tutankhamun,Alexandria - Smouha
Dr. Mohamed Ahmed Yahya,"Old bones, adult orthopedic surgery, hand and shoulder bones, foot and ankle bones, joint change, orthopedic orthodontics, stadium injuries and endoscopes, adult rheumatism, bones, Giza, engineers",Mohandessin: Abdel Moneim Riad Street,Giza - Engineers
Dr. Mohamed Idris,"Sugar and deaf glands, adult liver, digestive system and adults, general interior, adult kidneys, internal, Qaliubiya, Benha Center",Benha Center: Manshiyat Al -Nour - the first road to Al -Shamout,Qaliubiya - Benha Center
Dr. Mohamed Arnaout,"Adult a spine surgery, children's neurosurgery, adult neurosurgery, pillar surgery children, neurosurgery, oriental, Zagazig","Zagazig: Al-Khashab Street, behind Al-Mabra Hospital in front of the Cisco-National Institute",Eastern - Zagazig
Dr. Muhammad Alkilani,"Newborn, sensitivity and immunity of children, breastfeeding, children, children and newborns, Giza, Faisal",Faisal: 328 Al -Shorouk Horoscope,Giza - Faisal
"Dr. Muhammad, may God bless","Adult sensitivity and immunity, sensitivity and immunity of children, respiratory sensitivity, chest and adult respiratory system, breast and respiratory system, chest and respiratory system, Giza, Imbaba",Imbaba: Imam Al -Ghazali Street,Giza - Imbaba
Dr. Muhammad Amir,An adult's nose and lax,Assembly: northern ninety Street,Cairo - Assembly
Dr. Muhammad Amir,Annual and adults and lax,"Heliopolis: Nehru, Heliopolis",Cairo - Heliopolis
Dr. Muhammad Amir,Annual and adults and lax,"Heliopolis: Nehru, Heliopolis",Cairo - Heliopolis
Dr. Muhammad Amen,"Adult teeth, teeth, Giza, engineers",Engineers,Giza - Engineers
Dr. Muhammad Amen,"Adult teeth, teeth, Giza, engineers",Engineers,Giza - Engineers
Dr. Mohamed Anwar,"Diseases of women and obstetrics, women and obstetrics, Cairo, the assembly","Assembly: Mustafa Kamel, the first assembly",Cairo - Assembly
Dr. Muhammad Anwar Abu Arab,"Microscopic injection and sterility, diseases of women and obstetrics, women and obstetrics, Giza, the pyramid",Haram: Ali Ibn Abi Talib Street,Giza - the pyramid
Dr. Muhammad Anwar Suleiman,"Gastrointestinal and Endoscopes, general internal, digestive and endoscopic device, Giza, Sheikh Zayed",Sheikh Zayed: Twin Towers-Tower D.,Giza - Sheikh Zayed
Dr. Mohamed Ibrahim Abbas,"Children, newborns, children and newborns, Cairo, gathering","Assembly: Mustafa Kamel, the first assembly",Cairo - Assembly
Dr. Mohamed Ibrahim Afifi Syed,"Adult teeth, teeth, Giza, Giza Square",Giza Square,Giza - Giza Square
Dr. Muhammad Ibrahim Ali Shair,"Adult teeth, teeth, Cairo, Dome Bridge",Dome Bridge,Cairo - Dome Bridge
Dr. Mohamed Ibrahim Eid,"Microscopic injection and sterility, women's diseases and obstetrics, women's tumors surgery, women's plastic surgery, birth, women and obstetrics, Dakahlia, Mansoura",Mansoura: the new sketch,Dakahlia - Mansoura
Dr. Mohamed Ibrahim Fouad,"Diseases of women and obstetrics, women and obstetrics, Cairo, Mrs. Zainab",Mrs. Zainab,Cairo - Mrs. Zainab
Dr. Mohamed Ibrahim Fouad,"Diseases of women and generation, microscopic injection and sterility, women and generation, Giza, the pyramid",Pyramid: The main pyramid street,Giza - the pyramid
Dr. Muhammad Ibrahim Qasim,"Colon tumor surgery, stomach tumor surgery, adult tumors surgery, breast tumor surgery, liver tumor surgery, oncology surgery, Alexandria, sand station",Raml Station: College of Medicine St.,Alexandria - Raml Station
Dr. Mohamed Ibrahim Mohamed,"Obesity and slimming surgery, adult general surgery, gastrointestinal surgery and adult perspectives, obesity and endoscopic surgery, Alexandria, Miami",Miami: Iskandar Ibrahim,Alexandria - Miami
Dr. Mohamed Ibrahim Mohamed Amer,"Diseases of women and generation, women and obstetrics, Cairo, Suez Bridge",Suez Bridge,Cairo - Suez Bridge
Dr. Mohamed Ibrahim Mansi,"Breast Oncology Surgery, Oncology Surgery, Eastern, Zagazig",Zagazig: the path of Al -Mansoura position,Eastern - Zagazig
Dr. Muhammad Abu Al -Majd,"Old bones, bones, Cairo, Manial",Running,Cairo - Manial
Dr. Muhammad Abu Al -Maati,"Adult brain and nerves, psychological adults, brain and nerves, Alexandria, birds",Al -Asafra: Street 45 tribal,Alexandria - Asafra
Dr. Muhammad Abu Al -Naja,"Obesity and slimming surgery, general surgery, Cairo, Heliopolis","Heliopolis: No. 4 Marwa, Al -Safa Tower, behind the Roxy Cinema, the highest tower laboratory, Roxy Square",Cairo - Heliopolis
Dr. Muhammad Abu Al Yazid Ahmed,"Adult teeth, teeth, Cairo, Maadi",Hostile,Cairo - Maadi
Dr. Muhammad Abu Zaid,"Old heart surgery, baby heart surgery, heart and chest surgery, Cairo, Maadi",Maadi: 100 Street,Cairo - Maadi
Dr. Muhammad Abu Zaid,"Adult kidneys, male diseases, urinary tract surgery, kids kidneys, urinary tract, urinary tract adults, urinary tract surgery, urinary tract, Giza, Al -Ahram Gardens",Al -Ahram Gardens: The First Gate,Giza - Al -Ahram Gardens
Dr. Muhammad Abu Sari,"Old heart, heart and blood vessels, Giza, engineers",Mohandessin: Shehab Al -Zahraa Administrative Street,Giza - Engineers
Dr. Muhammad Abu Talib,"Sugar and deaf extinction, digestive system and adults, general internal, internal, Dakahlia, Mit Ghamr",Mit Ghamr: June 26 Street,Dakahlia - Mit Ghamr
Dr. Muhammad Abu Al -Majd Al -Hashemi,"Women's tumor surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, stomach tumor surgery, pediatric tumor surgery, oncology surgery, Assiut, Assiut Center",Assiut Center: Al -Mahatta Street,Assiut - Assiut Center
Dr. Muhammad Abu Al -Foufa,"Adult brain and nerves, brain and nerves, Cairo, Nasr City","Nasr City: Hisham Labib, a branch from Makram Obaid",Cairo - Nasr City
Dr. Mohamed Ahmed Hanafi,"Old eyes, lizards and correction of vision and white water, eyes, Cairo, Maadi",Maadi: The ring road,Cairo - Maadi
Dr. Mohamed Ahmed Hanafi,"Network surgery and a glass body, lizards and correction of eyes and white water, adult eyes, eyes, Giza, engineers",Mohandessin: Syria Street,Giza - Engineers
Dr. Mohamed Ahmed Rady,Belly,Heliopolis,Cairo - Heliopolis
Dr. Mohamed Ahmed Rady,Belly,Heliopolis,Cairo - Heliopolis
Dr. Mohamed Ahmed Ramadan Ahmed,"Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, dental cosmetic, dental implant, gum treatment, dental fixtures, dental rays, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Ahmed Sultan,"General surgery, children, adult surgery, obesity and slimming surgery, endocrine surgery, injury and accident surgery, breast tumor surgery, colon tumor surgery, belly surgery, digestive system surgery and adult perspectives, adult tumors surgery, stomach tumor surgery, gastrointestinal surgery and children's endoscopes, General Surgery, Giza, Giza Square",Giza Square: Giza Square,Giza - Giza Square
Dr. Mohamed Ahmed Taha,"Adult teeth, teeth, Giza, Giza Square",Giza Square,Giza - Giza Square
Dr. Mohamed Ahmed Abdel -Khaleq,"Urine urinary tracts, urology, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Mohamed Ahmed Abdel -Azim,"Old eyes, lizards and correction of eyes and white water, eyes, Giza, Agouza",Agouza: Fallujah Street,Giza - Agouza
Dr. Mohamed Ahmed Abdel -Mawli,"Children, newborns, sensitivity and immunity of children, children and newborns, Giza, Faisal",Faisal: Othman Bin Affan Street from Faisal Street in front of the Faisal Traffic Department,Giza - Faisal
Dr. Muhammad Osama Al -Hefnawi,"Old bones, adult orthopedic surgery, bones, oriental, Zagazig",Zagazig,Eastern - Zagazig
Dr. Muhammad Osama Al -Ghazawi,"Microscopic injection and sterility, women's tumors surgery, women's diseases and obstetrics, women and obstetrics, Cairo, Shubra",Shubra: Al -Taraa Al -Toulaga Street,Cairo - Shubra
Dr. Muhammad Osama Al -Ghazawi,"Microscopic injection and sterility, women's tumors surgery, women's diseases and obstetrics, women and generation, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
Dr. Muhammad Osama Hegazy,"Old bones, bones, Cairo, Gardens of the Dome",Dome gardens,Cairo - Gardens of the Dome
Dr. Muhammad Osama Hegazy,"Old bones, bones, Cairo, Gardens of the Dome",Dome gardens,Cairo - Gardens of the Dome
Dr. Muhammad Osama Ali,"General internal, sugar and adult endocrinology, adult liver, digestive system and adults, adult kidneys, chest and adult respiratory system, adult heart, adult feeding and feeding, internal, Cairo, Heliopolis",Heliopolis: Al -Nuzha Street,Cairo - Heliopolis
Dr. Muhammad Osama Alish,"Adult teeth, teeth, Cairo, Dome Bridge",Dome Bridge,Cairo - Dome Bridge
Dr. Muhammad Osama Auf,"Burn plastic surgery, eye plastic surgery, cosmetic and laser, adult leather, children's distortions and birth defects, obesity and slimming surgery, plastic surgery, Cairo, Heliopolis",Heliopolis: Nakhla Al -Mutawi Street,Cairo - Heliopolis
Dr. Muhammad Osama,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, foot and ankle bones, joint change, orthopedic orthodontics, stadium injuries and endoscopy, bones, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
Dr. Muhammad Osama,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, foot and ankle bones, joint change, orthopedic orthodontics, stadium injuries and endoscopy, bones, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
Dr. Muhammad Ashraf Lotfy Al -Wakeel,"Old bones, bones, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad al -Abhar,"An adult nose and throat, an adult surgery, an adult ear, an adult throat, a nose, a child and a children's lax",Mrs. Zainab: Al -Muttabdian,Cairo - Mrs. Zainab
Dr. Muhammad Al -Ikashi,"General surgery, children, urinary tract surgery, children's tumors surgery, digestive system surgery and children's endoscopes, child abnormal surgery and birth defects, pediatric surgery, oriental, Zagazig",Zagazig: Al -Bahr St. behind the Police Club in front of the University Hospital,Eastern - Zagazig
Dr. Muhammad Al -Istiabi,"Facial plastic surgery, burn surgery, eye plastic surgery, hand surgery, nose plastic surgery, cosmetic and laser, adult leather, obesity and slimming surgery, plastic surgery, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Al -Imam,"Extraordinary feedback, adult physical therapy, children's physical therapy, slimming and feeding, Dakahlia, Mansoura",Mansoura: Nabarwa Al -Gomhoria Street,Dakahlia - Mansoura
Dr. Muhammad Al -Imam,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, hand and shoulder bones, adult orthopedic surgery, bones, Giza, Faisal",Faisal: King Faisal Street,Giza - Faisal
Dr. Muhammad Imam Mahmoud,"Announcement and adults and throat, nose, ears and throat, Cairo, Manial",Running,Cairo - Manial
Dr. Muhammad Imam Mahmoud,"Announcement and adults and throat, nose, ears and throat, Cairo, Manial",Running,Cairo - Manial
Dr. Muhammad Al -Amin Abdul Hamid,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Al -Anwar,"Adult Surgery, Children's Surgery, Administrative Cardiology, Pediatric Cardiology, Administrative General Surgery, Cardiology and Eastern, Eastern, Zagazig","Zagazig: Al -Mahatta, Orabi Square, is the top of Al -Balf Restaurant",Eastern - Zagazig
Dr. Muhammad Al -Banna,"Adult blood vessels surgery, diabetes foot treatment, blood vessels surgery, Cairo, Assembly","Assembly: Mubarak Services Complex, next to the first department of the fifth assembly, in front of the Takwa Mosque, the second floor, the pint laboratory and clinics",Cairo - Assembly
Dr. Muhammad Al -Bandari,"Old bones, bones, Giza, Faisal",Faisal: Ahmed Lotfi El -Sayed,Giza - Faisal
Dr. Muhammad Al -Bahnasi,"Children, newborns, children and newborns, Giza, pyramid",Pyramid: Tarsa Street,Giza - the pyramid
Dr. Muhammad Al -Tohamy,"Tuberculosis and an adult respiratory device, chest and respiratory staff, chest and respiratory device, Cairo, Nasr City",Nasr City: 52 Aviation Street in front of Nasr City Security Hospital-Airlines,Cairo - Nasr City
Dr. Muhammad Al -Tohamy,"Tuberculosis and an adult respiratory device, chest and respiratory staff, chest and respiratory device, Cairo, Nasr City",Nasr City: 52 Aviation Street in front of Nasr City Security Hospital-Airlines,Cairo - Nasr City
Dr. Muhammad Al -Tohamy,"Badlet and an adult respiratory system, chest and respiratory system, respiratory sensitivity, general interior, adults and adult immunity, sensitivity and children's immunity, chest and respiratory system, Giza, pyramid",Al-Haram: Adawi Salim Al-Zahra- Western Urbanism- Al-Zahraa from Talibiya (pyramid),Giza - the pyramid
Dr. Muhammad Al -Tohamy,"Badlet and an adult respiratory system, chest and respiratory system, respiratory sensitivity, general interior, adults and adult immunity, sensitivity and children's immunity, chest and respiratory system, Giza, pyramid",Al-Haram: Adawi Salim Al-Zahra- Western Urbanism- Al-Zahraa from Talibiya (pyramid),Giza - the pyramid
Dr. Muhammad Al -Tohamy,"General internal, sensitivity and adult immunity, sensitivity and immunity of children, respiratory sensitivity, chest and adult respiratory system, chest and respiratory system, sensitivity and immunity, Giza, pyramid",Haram: Haram Street,Giza - the pyramid
Dr. Muhammad Al -Jarhi,"Children, newborns, children and newborns, Cairo, Sunrise",sunrise,Cairo - Sunrise
Dr. Muhammad Al -Jubaili,"Bone distortions, adult bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bones, Cairo, gathering",Assembly: northern ninety,Cairo - Assembly
Dr. Muhammad Al -Hussein Sama Clinic,"Old eyes, optical rehabilitation, lizards, vision and white water correction, children's eyes, network surgery and glass body, eyes, Giza, Sheikh Zayed",Sheikh Zayed: Mall Al -Moez,Giza - Sheikh Zayed
Dr. Muhammad Al -Husseini,"General internal, adult blood diseases, children's blood diseases, internal, Giza, Dokki",Dokki: No. 92 Liberation over the National Bank,Giza - Dokki
Dr. Muhammad Al -Husseini,"Extraordinary spine surgery, spine surgery, children",Shubra Al -Khaimah: The New Street,Cairo - Shubra Al -Khaimah
Dr. Muhammad Al -Husseini Al -Mahi,"Diseases of women and obstetrics, microscopic injection and sterility, women and obstetrics, Cairo, Manial",Al Manial: Manial Street,Cairo - Manial
Dr. Muhammad Al -Husseini Al -Mahi,"Diseases of women and obstetrics, microscopic injection and sterility, women and obstetrics, Cairo, Manial",Al Manial: Manial Street,Cairo - Manial
Dr. Muhammad Al -Husseini Al -Hitti,"Facial plastic surgery, burn surgery, eye plastic surgery, hand surgery, nose surgery, plastic surgery, western, Tanta","Tanta: Al -Borsa from Al -Sa'ah Square, Al -Shahawi Mall",Gharbia - Tanta
Dr. Muhammad Al -Hallaj,"Toxin therapy, addiction treatment, family consultations, psychological children, psychological adults, psychological psychological, psychological, Giza, Sheikh Zayed",Sheikh Zayed: Diplomatic District-Imam of Sheikh Zayed Specialist Hospital,Giza - Sheikh Zayed
Dr. Muhammad Al -Hinnawi,"Adult a spine surgery, spine surgery, children's bone surgery, hand and shoulder bones, foot and ankle bones, joint change, adult orthopedic surgery, spine surgery, Cairo, Heliopolis",Heliopolis: Asmaa Fahmy Street,Cairo - Heliopolis
Dr. Muhammad Al -Khouli,"Old heart, adult blood vessels, heart and blood vessels, western, Tanta","Tanta: The sea is the capital, next to the eastern weavers, in front of Banque Misr",Gharbia - Tanta
Dr. Muhammad Al -Khouli,"Old heart, adult blood vessels, heart and blood vessels, western, Kafr El -Zayat Center",Kafr Al -Zayat Center: Atris in front of Al -Qaei Mosque and Al -Shaab Pharmacy,Western - Kafr El -Zayat Center
Dr. Muhammad Al -Deeb,"General, internal, internal, Cairo, Nasr City",Nasr City,Cairo - Nasr City
Dr. Muhammad Al -Roumi,"General internal, adult kidneys, interior, lake, Damanhour",Damanhur,Lake - Damanhour
Dr. Muhammad Al -Zubaidi,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, hand and shoulder bones, adult rheumatism, adult oral surgery, bones, Alexandria, Sidi Jaber",Sidi Jaber: Freedom Ways,Alexandria - Sidi Jaber
Dr. Muhammad Al -Zarqani,"Old skin, leather, Cairo, downtown",downtown,Cairo - Downtown
Dr. Muhammad Al -Zarqani,"Old skin, leather, Cairo, downtown",downtown,Cairo - Downtown
Dr. Muhammad Al -Sarouji,"Olding general surgery, belly surgery, digestive system surgery and adult perspectives, adult tumors surgery, liver tumor surgery, stomach tumor surgery, obesity and slimming surgery, general surgery, Cairo, gathering",Assembly: northern ninety,Cairo - Assembly
Dr. Muhammad Al -Sarouji,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Al -Saad Al -Rifai,"Old skin, leather, Cairo, Maadi",Hostile,Cairo - Maadi
Dr. Muhammad Al -Saadawi,"Dental cosmetic, gum treatment, dental rays, dental implants, filling and treatment of roots and nerves, facial surgery and jaws, dental orthodontics, dental fixtures, children's teeth, adult teeth, teeth, Cairo, Obour City","Al -Obour City: Al -Saidi 1000 BBC, Belbeis Road, Peace City",Cairo - Obour City
Dr. Muhammad Al -Saeed,"Women and generation diseases, microscopic injection and sterility, birth, women and generation, Giza, Faisal","Faisal: Faisal Street, the publication station",Giza - Faisal
Dr. Mohamed El -Sayed,"Adulty kidneys, general interior, sugar and adult endocrine, kidneys, Giza, Sheikh Zayed",Sheikh Zayed: Downtown Mall - next to Sheikh - Zayed Specialist Hospital - third floor - Sheikh Zayed,Giza - Sheikh Zayed
Dr. Mohamed El -Sayed,"General, internal, internal, Giza, Shubra Al -Khaimah",Shubra Al -Khaimah,Giza - Shubra Al -Khaimah
Dr. Mohamed El -Sayed Al -Badawi,"Male diseases, urologist adult paths, urinary tract surgery, urology, Alexandria, Bolkli","Bolkli: Freedom Road, Bolkly, in front of Lazabella",Alexandria - Bolkli
Dr. Mohamed El -Sayed Al -Sebaei,"Children's brain and nerve surgery, adult brain and nerves, children's nerves, adult neurosurgery, neurosurgery, neurosurgery, Gharbia, Al -Mahalla Al -Kubra",Al -Mahalla Al -Kubra: Damascus from the extension of Shukri Al -Houtali Street,Gharbia - Al -Mahalla Al -Kubra
Dr. Mohamed El -Sayed Al -Nimr,"General, internal, internal, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Mohamed El -Sayed Al -Nimr,"General, internal, internal, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Mohamed El -Sayed Hassanein,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Mohamed El -Sayed Hassan,"Children, newborns, sensitivity and immunity of children, children and newborns, Alexandria, Miami",Miami,Alexandria - Miami
Dr. Mohamed El -Sayed Hassan,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, facial plastic surgery, burn surgery, hand surgery, nose surgery, leather, Giza, pyramid",Pyramid: The main pyramid street - Meshaal,Giza - the pyramid
Dr. Mohamed El -Sayed Suleiman,"Adult liver, digestive system and extractors, pediatric liver, digestive system and children's endoscopes, digestive and endoscopy, Cairo, Manial",Al Manial: Manial Street,Cairo - Manial
Dr. Muhammad Al -Shami,"I am adults, myself, children, addiction treatment, family consulting, psychological, Giza, engineers",Mohandessin: The League of Arab States Street,Giza - Engineers
Dr. Muhammad Al -Shawi,"Obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adults, injuries and accident surgery, adult tumors surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, stomach tumor surgery, adult surgery, general surgery, Cairo,Nasr City",Nasr City: Anwar Al -Mufti Khalaf Taiba Mall,Cairo - Nasr City
Dr. Muhammad Al -Shahat,"Facial plastic surgery, obesity and slimming surgery, adult leather, cosmetic and laser, burn surgery, eye plastic surgery, hand surgery, nose surgery, children's distortions and birth defects, plastic surgery, Alexandria, Camp Shezar",Camp Shezar: 39 Omar Lutfi St.,Alexandria - Camp Shezar
Dr. Mohamed El -Sherbiny,"Adult liver, digestive system and adults, general internal, sugar and adult endocrine, adult kidneys, chest and adult respiratory device, internal, Cairo, Manial","Al Manial: Mohamed Farid Wajdi Street, from Al Manial",Cairo - Manial
Dr. Mohamed El -Sherbiny,"Children, children and newborns, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Al -Sharqawi,"An adult nose and laxity, hearing and balance disorder, nose surgery, adults and throat adult",Shubra Al -Khaimah: Ahmed Orabi,Cairo - Shubra Al -Khaimah
Dr. Muhammad Al -Sharqawi,"Gynecology and generation diseases, women's tumors surgery, microscopic injection and infertility, women and generation, Cairo, Manial",Al Manial: Manial Street,Cairo - Manial
Dr. Muhammad Al Sharif,"Olding general surgery, breast tumor surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult endoscopy, gastrointestinal surgery and children's endoscopes, colon tumor surgery, stomach tumors surgery, general surgery, children's distortions and birth defects, adult tumors surgery, surgeryLiver tumors, general surgery, Alexandria, Sidi Jaber",Sidi Jaber: Freedom Road,Alexandria - Sidi Jaber
Dr. Muhammad Al Sharif,"Children's heart, adult heart, internal, western, Mahalla Al -Kubra",Al -Mahalla Al -Kubra: Damascus from the extension of Shukri Al -Houtali Street,Gharbia - Al -Mahalla Al -Kubra
Dr. Muhammad Al Sharif,"Microscopic and sterile injection, women's diseases and obstetrics, women's tumors surgery, women and obstetrics, Cairo, Dar Al Salam",Dar Al Salam: Fayoum Street,Cairo - Dar Al Salam
Dr. Muhammad Al -Sawy,"Urinary urinary tracts, urinary tracts, urology, Alexandria, Sidi Bishr",Sidi Bishr: Gamal Abdel Nasser Street,Alexandria - Sidi Bishr
Dr. Muhammad Al -Sawy,"Urinary tract children, urinary tract, urology, urology, Alexandria, Sidi Bishr",Sidi Bishr: Gamal Abdel Nasser Street,Alexandria - Sidi Bishr
Dr. Muhammad Al -Siddiq Musa,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women and obstetrics, Cairo, the Gardens of the Dome",Dome Gardens: Garage,Cairo - Gardens of the Dome
Dr. Muhammad Al -Saidi,"Psychological children, myself are adults, addiction treatment, family consulting, psychological psychological, psychological, Cairo, Nasr City",Nasr City: Al -Nuzha,Cairo - Nasr City
Dr. Mohammed Al -Sifi,"Women's tumor surgery, breast tumor surgery, colon tumor surgery, oncology surgery, Western, Tanta","Tanta: In front of the Cancer Institute, the entrance to the College of Science",Gharbia - Tanta
Dr. Muhammad Al -Tabakh,"Digestive device and adult perspectives, general internal, adult liver, digestive and endoscopic device, Cairo, Heliopolis","Heliopolis: 28 Othman bin Affan, Rome Center, Ismailia Square",Cairo - Heliopolis
Dr. Muhammad Al -Ajmi,"Psychology is adults, addiction treatment, toxin therapy, family counseling, psychological, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
Dr. Muhammad Al -Ajouz,"Tuberculosis and an adult respiratory system, chest and respiratory system children, respiratory sensitivity, chest and respiratory system, Alexandria, Muharram Beck",Muharram Beck,Alexandria - Muharram Beck
Dr. Muhammad Al -Ajouz,"Respiratory sensitivity, chest and adult respiratory system, breast and respiratory system","Qalioub: Qaha City - Fatima Al -Zahraa Street, branching from the Role of Tree Street",Qaliubiya - Qalioub
Dr. Muhammad Al -Ajouz,"Tuberculosis and adult respiratory system, breast and respiratory system, respiratory sensitivity, breast and respiratory system",Qalioub: Sindion - Abu Sifaya Mosque Street,Qaliubiya - Qalioub
Dr. Muhammad Al -Assal,"Facial plastic surgery, obesity and slimming surgery, cosmetic and laser, burn surgery, eye plastic surgery, hand plastic surgery, nose surgery, children's distortions and birth defects, plastic surgery, Alexandria, Laurent",Laurent,Alexandria - Laurent
Dr. Muhammad Al -Ashry,"Old eyes, lizards and correction of vision and white water, children's eyes, network surgery and glass body, eyes, Alexandria, Smouha",Smouha: Fawzi Moaz intersection with Tutankhamun,Alexandria - Smouha
Dr. Muhammad Al -Ashmawi,"Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, dental cosmetic, dental implant, gum treatment, dental fixtures, teeth, teeth, Alexandria, Laurent",Laurent: Abu Qir,Alexandria - Laurent
Dr. Muhammad Al -Ashmawi,"Joint change, adult bones, adult orthopedic surgery, bones, Cairo, Heliopolis",Heliopolis: Al -Nuzha,Cairo - Heliopolis
Dr. Muhammad Al -Ashmawi,"Joint change, adult bones, adult orthopedic surgery, bones, Cairo, Heliopolis",Heliopolis: Al -Nuzha,Cairo - Heliopolis
Dr. Muhammad Al -Ashmawi,"Joint change, adult bones, adult orthopedic surgery, bones, Cairo, Heliopolis",Heliopolis: Al -Nuzha,Cairo - Heliopolis
Dr. Muhammad Al -Attar,"Old bones, children's bones, adult oral surgery, bone distortions, joint change, bones, oriental, Zagazig",Zagazig,Eastern - Zagazig
Dr. Muhammad Al -Attar,"Joint change, stadium injuries and endoscopy, bones, Giza, Sheikh Zayed",Sheikh Zayed: July 26 axis,Giza - Sheikh Zayed
Dr. Muhammad Al -Akkad,"Adult's skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Cairo, Al -Rehab",Al -Rehab: Ahmed Shawky Street,Cairo - Al -Rehab
Dr. Muhammad Al -Akkad,"Sugar and adult deaf glands, adult kidneys, internal, Giza, engineers",Mohandessin: Damascus,Giza - Engineers
